B.Tech II Year I Semester (R15) Regular & Supplementary Examinations, Nov/Dec 2019
B.Tech III Year I Semester (R15) Regular & Supplementary Examinations, Nov/Dec 2019
B.Tech IV Year I Semester (R15) Regular & Supplementary Examinations, Nov/Dec 2019
B.Tech I Year I Semester (R15) Supplementary Examinations, June.July 2019
B.Tech I Year II Semester (R15) Regular & Supplementary Examinations, May/June 2019
B.Tech III Year I Semester (R15) Supplementary Examinations, June/July 2019
B.Tech II Year I Semester (R15) Supplementary Examinations, June/July 2019
B.Tech II Year II Semester (R15) Regular & Supplementary Examinations, May/June 2019
B.Tech IV Year I Semester (R15) Supplementary Examinations, June/July 2019
B.Tech IV Year II Semester (R15) Advanced Supplementary Examinations, July 2019
B.Tech III Year II Semester (R15) Regular & Supplementary Examinations, May/June 2019
B.Tech IV Year II Semester (R15) Regular Examinations, April 2019.
B.Tech I Year II Semester (R15) Supplementary Examinations, December 2018
B.Tech II Year II Semester (R15) Supplementary Examinations, December 2018
B.Tech III Year II Semester (R15) Supplementary Examinations, December/January 2018/2019
B.Tech I Year I Semester (R15) Regular and Supplementary Examinations, November/December 2018
B.Tech II Year I Semester (R15) Regular and Supplementary Examinations, November/December 2018
B.Tech III Year I Semester (R15) Regular and Supplementary Examinations, November/December 2018
B.Tech IV Year I Semester (R15) Regular Examinations, November/December 2018
None
